goal	rule	score
parent(martyn_lannister, Z11)	parent(martyn_lannister, rhaegar_targaryen)	0
ancestor(aegon_targaryen, sansa_stark)	ancestor(X, Y) :- parent(X, Y)	0
parent(rickon_stark, Z12)	parent(rickon_stark, rhaegar_targaryen)	0
parent(Y0, X0)	parent(unknown_mother_stark, tywin_lannister)	0
parent(yara_greyjoy, Z2)	parent(yara_greyjoy, jaime_lannister)	0
ancestor(rodrick_greyjoy, joffery_lannister)	ancestor(X, Y) :- ancestor(Z, Y), parent(X, Z)	0
parent(mace_tyrell, Z7)	parent(mace_tyrell, aerys_targaryen)	0
parent(tommen_lannister, Z3)	parent(tommen_lannister, unknown_mother_targaryen)	0
parent(aerys_targaryen, unknown_mother_stark)	parent(aerys_targaryen, unknown_mother_stark)	0
parent(robb_stark, Z11)	parent(robb_stark, unknown_father_greyjoy)	0
parent(willem_lannister, Z12)	parent(willem_lannister, joanna_lannister)	0
parent(viserys_targaryen, Z12)	parent(viserys_targaryen, unknown_mother_targaryen)	0
parent(rhaegar_targaryen, Z10)	parent(rhaegar_targaryen, steffon_baratheon)	0
parent(joffery_lannister, Z11)	parent(joffery_lannister, catelyn_stark)	0
parent(jaime_lannister, Z12)	parent(jaime_lannister, aegon_v_targaryen)	0
parent(four_unknown_martells, Z2)	parent(four_unknown_martells, lewyn_martell)	0
ancestor(tommen_lannister, _EX4)	ancestor(X, Y) :- ancestor(Z, Y), parent(X, Z)	0
parent(balon_greyjoy, Z4)	parent(balon_greyjoy, tywin_lannister)	0
ancestor(jon_snow, Y)	ancestor(X, Y) :- ancestor(Z, Y), parent(X, Z)	0
parent(loras_tyrell, Z10)	parent(loras_tyrell, stannis_baratheon)	0
parent(martyn_lannister, Z11)	parent(martyn_lannister, steffon_baratheon)	0
parent(oberyn_martell, Z3)	parent(oberyn_martell, rhaegar_targaryen)	0
parent(rhaella_targaryen, Z11)	parent(rhaella_targaryen, unknown_mother_stark)	0
parent(tyene_sand, Z4)	parent(tyene_sand, rhaegar_targaryen)	0
parent(trystane_martell, Z2)	parent(trystane_martell, aegon_v_targaryen)	0
parent(X, Z0)	parent(X, joanna_lannister)	0
parent(oberyn_martell, Z9)	parent(oberyn_martell, kevan_lannister)	0
parent(aeron_greyjoy, Z2)	parent(aeron_greyjoy, oberyn_martell)	0
parent(tyrion_lannister, Z10)	parent(tyrion_lannister, eddard_stark)	0
parent(doran_martell, Z4)	parent(doran_martell, tywin_lannister)	0
parent(Z10, Z11)	parent(Z10, unknown_mother_greyjoy)	0
parent(eddard_stark, Z12)	parent(eddard_stark, stannis_baratheon)	0
parent(robb_stark, Z2)	parent(robb_stark, cassana_estermont)	0
parent(loras_tyrell, Z9)	parent(loras_tyrell, unknown_mother_lannister)	0
parent(myrcella_lannister, Z12)	parent(myrcella_lannister, cassana_estermont)	0
ancestor(robb_stark, arya_stark)	ancestor(X, Y) :- parent(X, Y)	0
parent(cersei_lannister, Z11)	parent(cersei_lannister, unknown_mother_greyjoy)	0
ancestor(margaery_tyrell, rickon_stark)	ancestor(X, Y) :- parent(X, Y)	0
ancestor(rhaella_targaryen, _EX4)	ancestor(X, Y) :- parent(X, Y)	0
ancestor(myrcella_lannister, _EX1)	ancestor(X, Y) :- parent(X, Y)	0
ancestor(rhaella_targaryen, lancel_lannister)	ancestor(X, Y) :- parent(X, Y)	0
parent(cersei_lannister, Z7)	parent(cersei_lannister, joanna_lannister)	0
parent(rodrick_greyjoy, Z3)	parent(rodrick_greyjoy, lewyn_martell)	0
parent(sansa_stark, Z4)	parent(sansa_stark, rhaella_targaryen)	0
parent(tywin_lannister, Z4)	parent(tywin_lannister, tytos_lannister)	0
ancestor(joffery_lannister, rickon_stark)	ancestor(X, Y) :- parent(X, Y)	0
parent(willem_lannister, Z4)	parent(willem_lannister, unknown_mother_sand_2)	0
parent(cersei_lannister, Z12)	parent(cersei_lannister, mellario_of_norvos)	0
parent(nymeria_sand, Z10)	parent(nymeria_sand, unknown_mother_sand_3)	0
parent(robb_stark, Z10)	parent(robb_stark, cersei_lannister)	0
parent(lancel_lannister, Z11)	parent(lancel_lannister, lewyn_martell)	0
parent(yara_greyjoy, Z12)	parent(yara_greyjoy, tywin_lannister)	0
parent(tyene_sand, Z4)	parent(tyene_sand, aegon_v_targaryen)	0
parent(rhaenys_targaryen, Z10)	parent(rhaenys_targaryen, unknown_mother_martell)	0
parent(mace_tyrell, Z8)	parent(mace_tyrell, unknown_mother_lannister)	0
parent(renly_baratheon, Z12)	parent(renly_baratheon, unknown_mother_sand_2)	0
parent(cersei_lannister, Z4)	parent(cersei_lannister, unknown_mother_targaryen)	0
parent(kevan_lannister, Z4)	parent(kevan_lannister, joanna_lannister)	0
ancestor(renly_baratheon, Y)	ancestor(X, Y) :- parent(X, Y)	0
ancestor(myrcella_lannister, arya_stark)	ancestor(X, Y) :- ancestor(Z, Y), parent(X, Z)	0
parent(arya_stark, Z11)	parent(arya_stark, jaime_lannister)	0
parent(robert_baratheon, Z12)	parent(robert_baratheon, unknown_mother_sand_2)	0
parent(euron_greyjoy, unknown_father_greyjoy)	parent(euron_greyjoy, unknown_father_greyjoy)	0
parent(tyene_sand, Z2)	parent(tyene_sand, rhaegar_targaryen)	0
ancestor(tywin_lannister, obara_sand)	ancestor(X, Y) :- ancestor(Z, Y), parent(X, Z)	0
parent(arya_stark, Z8)	parent(arya_stark, jaime_lannister)	0
parent(nymeria_sand, Z12)	parent(nymeria_sand, lewyn_martell)	0
male(X0)	male(unknown_mother_targaryen)	0
parent(arya_stark, Z11)	parent(arya_stark, stannis_baratheon)	0
ancestor(nymeria_sand, aegon_targaryen)	ancestor(X, Y) :- ancestor(Z, Y), parent(X, Z)	0
parent(lancel_lannister, Z10)	parent(lancel_lannister, stannis_baratheon)	0
parent(stannis_baratheon, Z4)	parent(stannis_baratheon, cersei_lannister)	0
parent(arya_stark, Z4)	parent(arya_stark, kevan_lannister)	0
parent(nymeria_sand, unknown_mother_martell)	parent(nymeria_sand, unknown_mother_martell)	0
parent(robert_baratheon, Z12)	parent(robert_baratheon, unknown_mother_targaryen)	0
parent(trystane_martell, Z11)	parent(trystane_martell, aerys_targaryen)	0
ancestor(martyn_lannister, aegon_targaryen)	ancestor(X, Y) :- parent(X, Y)	0
parent(eddard_stark, Z11)	parent(eddard_stark, unknown_mother_sand_1)	0
ancestor(obara_sand, Y)	ancestor(X, Y) :- parent(X, Y)	0
parent(duncan_targaryen, Z3)	parent(duncan_targaryen, steffon_baratheon)	0
parent(nymeria_sand, Z2)	parent(nymeria_sand, tywin_lannister)	0
parent(jaime_lannister, tytos_lannister)	parent(jaime_lannister, tytos_lannister)	0
parent(robb_stark, Z2)	parent(robb_stark, ellaria_sand)	0
parent(myrcella_lannister, Z3)	parent(myrcella_lannister, jaime_lannister)	0
parent(robert_baratheon, Z3)	parent(robert_baratheon, unknown_mother_targaryen)	0
parent(rickon_stark, Z4)	parent(rickon_stark, rhaella_targaryen)	0
parent(daeron_targaryen, Z10)	parent(daeron_targaryen, unknown_mother_martell)	0
ancestor(rhaenys_targaryen, _EX3)	ancestor(X, Y) :- ancestor(Z, Y), parent(X, Z)	0
parent(balon_greyjoy, Z12)	parent(balon_greyjoy, balon_greyjoy)	0
parent(ellaria_sand, Z0)	parent(ellaria_sand, unknown_mother_sand_2)	0
parent(maron_greyjoy, Z4)	parent(maron_greyjoy, kevan_lannister)	0
parent(ella_martell, Z12)	parent(ella_martell, tywin_lannister)	0
parent(margaery_tyrell, Z12)	parent(margaery_tyrell, lewyn_martell)	0
parent(X0, Y0)	parent(unknown_mother_targaryen, rodrick_greyjoy)	0
parent(tyrion_lannister, Z12)	parent(tyrion_lannister, tytos_lannister)	0
parent(rhaenys_targaryen, Z4)	parent(rhaenys_targaryen, tytos_lannister)	0
parent(shireen_baratheon, Z4)	parent(shireen_baratheon, robert_baratheon)	0
parent(gendry, Z12)	parent(gendry, joanna_lannister)	0
parent(rickon_stark, Z9)	parent(rickon_stark, lewyn_martell)	0
parent(aerys_targaryen, Z11)	parent(aerys_targaryen, jaime_lannister)	0
parent(jon_snow, Z11)	parent(jon_snow, ellaria_sand)	0
parent(loras_tyrell, Z11)	parent(loras_tyrell, balon_greyjoy)	0
parent(trystane_martell, Z11)	parent(trystane_martell, lewyn_martell)	0
parent(benjen_stark, Z2)	parent(benjen_stark, mellario_of_norvos)	0
parent(obara_sand, Z4)	parent(obara_sand, rhaegar_targaryen)	0
ancestor(myrcella_lannister, tommen_lannister)	ancestor(X, Y) :- ancestor(Z, Y), parent(X, Z)	0
parent(trystane_martell, Z11)	parent(trystane_martell, unknown_mother_sand_3)	0
parent(_EX4, Z1)	parent(_EX4, unknown_mother_greyjoy)	0
parent(shireen_baratheon, Z4)	parent(shireen_baratheon, tywin_lannister)	0
parent(tywin_lannister, Z4)	parent(tywin_lannister, selyse_baratheon)	0
parent(tywin_lannister, Z11)	parent(tywin_lannister, alerie_hightower)	0
ancestor(eddard_stark, daeron_targaryen)	ancestor(X, Y) :- parent(X, Y)	0
ancestor(four_unknown_martells, robert_baratheon)	ancestor(X, Y) :- ancestor(Z, Y), parent(X, Z)	0
parent(four_unknown_martells, Z4)	parent(four_unknown_martells, elia_martell)	0
ancestor(tyene_sand, X)	ancestor(X, Y) :- ancestor(Z, Y), parent(X, Z)	0
parent(mace_tyrell, Z4)	parent(mace_tyrell, lyanna_stark)	0
parent(tommen_lannister, Z12)	parent(tommen_lannister, aerys_targaryen)	0
parent(four_unknown_martells, Z4)	parent(four_unknown_martells, joanna_lannister)	0
parent(daeron_targaryen, Z4)	parent(daeron_targaryen, selyse_baratheon)	0
parent(balon_greyjoy, Z11)	parent(balon_greyjoy, robert_baratheon)	0
parent(rodrick_greyjoy, Z3)	parent(rodrick_greyjoy, alerie_hightower)	0
parent(joffery_lannister, Z11)	parent(joffery_lannister, unknown_mother_martell)	0
parent(margaery_tyrell, Z4)	parent(margaery_tyrell, oberyn_martell)	0
parent(duncan_targaryen, Z4)	parent(duncan_targaryen, olenna_tyrell)	0
parent(sarella_sand, Z4)	parent(sarella_sand, joanna_lannister)	0
parent(renly_baratheon, Z11)	parent(renly_baratheon, mellario_of_norvos)	0
parent(lyanna_stark, unknown_father_greyjoy)	parent(lyanna_stark, unknown_father_greyjoy)	0
parent(eddard_stark, Z4)	parent(eddard_stark, oberyn_martell)	0
parent(oberyn_martell, Z11)	parent(oberyn_martell, joanna_lannister)	0
parent(nymeria_sand, Z3)	parent(nymeria_sand, unknown_mother_greyjoy)	0
parent(Z7, unknown_mother_greyjoy)	parent(Z7, unknown_mother_greyjoy)	0
ancestor(nymeria_sand, sansa_stark)	ancestor(X, Y) :- ancestor(Z, Y), parent(X, Z)	0
parent(jaime_lannister, Z4)	parent(jaime_lannister, luthor_tyrell)	0
parent(trystane_martell, Z10)	parent(trystane_martell, cersei_lannister)	0
parent(jon_snow, Z3)	parent(jon_snow, unknown_mother_sand_3)	0
parent(rickon_stark, Z4)	parent(rickon_stark, lyanna_stark)	0
parent(martyn_lannister, Z2)	parent(martyn_lannister, unknown_father_greyjoy)	0
parent(kevan_lannister, Z4)	parent(kevan_lannister, kevan_lannister)	0
parent(yara_greyjoy, Z11)	parent(yara_greyjoy, unknown_mother_targaryen)	0
parent(four_unknown_martells, Z2)	parent(four_unknown_martells, unknown_mother_sand_2)	0
parent(euron_greyjoy, Z11)	parent(euron_greyjoy, aerys_targaryen)	0
ancestor(X, aegon_targaryen)	ancestor(X, Y) :- parent(X, Y)	0
parent(aerys_targaryen, unknown_mother_lannister)	parent(aerys_targaryen, unknown_mother_lannister)	0
ancestor(joffery_lannister, _EX1)	ancestor(X, Y) :- parent(X, Y)	0
parent(rodrick_greyjoy, Z9)	parent(rodrick_greyjoy, alannys_harlaw)	0
ancestor(yara_greyjoy, rhaenys_targaryen)	ancestor(X, Y) :- ancestor(Z, Y), parent(X, Z)	0
parent(_EX4, unknown_father_greyjoy)	parent(_EX4, unknown_father_greyjoy)	0
parent(joffery_lannister, Z12)	parent(joffery_lannister, selyse_baratheon)	0
parent(rhaegar_targaryen, Z3)	parent(rhaegar_targaryen, luthor_tyrell)	0
parent(gendry, Z11)	parent(gendry, unknown_mother_lannister)	0
parent(rhaella_targaryen, Z10)	parent(rhaella_targaryen, unknown_mother_sand_3)	0
parent(tyrion_lannister, Z12)	parent(tyrion_lannister, aegon_v_targaryen)	0
ancestor(benjen_stark, daeron_targaryen)	ancestor(X, Y) :- ancestor(Z, Y), parent(X, Z)	0
parent(robert_baratheon, Z9)	parent(robert_baratheon, mace_tyrell)	0
parent(robert_baratheon, Z4)	parent(robert_baratheon, balon_greyjoy)	0
parent(euron_greyjoy, Z4)	parent(euron_greyjoy, unknown_mother_stark)	0
parent(aerys_targaryen, Z3)	parent(aerys_targaryen, stannis_baratheon)	0
parent(lancel_lannister, Z12)	parent(lancel_lannister, selyse_baratheon)	0
parent(_EX2, Z0)	parent(_EX2, catelyn_stark)	0
ancestor(rhaella_targaryen, obara_sand)	ancestor(X, Y) :- ancestor(Z, Y), parent(X, Z)	0
parent(kevan_lannister, Z9)	parent(kevan_lannister, tywin_lannister)	0
parent(euron_greyjoy, Z8)	parent(euron_greyjoy, lyanna_stark)	0
parent(brandon_stark, Z11)	parent(brandon_stark, luthor_tyrell)	0
parent(daenerys_targaryen, Z11)	parent(daenerys_targaryen, mellario_of_norvos)	0
parent(arya_stark, Z12)	parent(arya_stark, unknown_mother_stark)	0
parent(martyn_lannister, Z10)	parent(martyn_lannister, tytos_lannister)	0
parent(jaime_lannister, Z12)	parent(jaime_lannister, aerys_targaryen)	0
parent(kevan_lannister, Z4)	parent(kevan_lannister, unknown_mother_greyjoy)	0
parent(maron_greyjoy, Z3)	parent(maron_greyjoy, unknown_mother_greyjoy)	0
parent(tyrion_lannister, Z3)	parent(tyrion_lannister, robert_baratheon)	0
parent(rodrick_greyjoy, Z11)	parent(rodrick_greyjoy, kevan_lannister)	0
parent(X, Z1)	parent(X, unknown_mother_sand_1)	0
parent(duncan_targaryen, Z3)	parent(duncan_targaryen, alerie_hightower)	0
parent(rhaenys_targaryen, Z2)	parent(rhaenys_targaryen, aegon_v_targaryen)	0
parent(lyanna_stark, Z3)	parent(lyanna_stark, aegon_v_targaryen)	0
parent(brandon_stark, Z4)	parent(brandon_stark, mellario_of_norvos)	0
ancestor(lyanna_stark, Z)	ancestor(X, Y) :- ancestor(Z, Y), parent(X, Z)	0
parent(willem_lannister, Z12)	parent(willem_lannister, steffon_baratheon)	0
parent(X, unknown_mother_targaryen)	parent(X, unknown_mother_targaryen)	0
parent(daeron_targaryen, Z9)	parent(daeron_targaryen, rhaella_targaryen)	0
parent(willem_lannister, Z4)	parent(willem_lannister, robert_baratheon)	0
parent(maron_greyjoy, Z11)	parent(maron_greyjoy, alerie_hightower)	0
parent(aerys_targaryen, Z6)	parent(aerys_targaryen, elia_martell)	0
parent(oberyn_martell, Z10)	parent(oberyn_martell, steffon_baratheon)	0
parent(joffery_lannister, Z12)	parent(joffery_lannister, jaime_lannister)	0
female(X0)	female(loras_tyrell)	0
parent(benjen_stark, Z10)	parent(benjen_stark, unknown_mother_targaryen)	0
parent(yara_greyjoy, aerys_targaryen)	parent(yara_greyjoy, aerys_targaryen)	0
parent(lyanna_stark, Z10)	parent(lyanna_stark, elia_martell)	0
parent(cersei_lannister, Z11)	parent(cersei_lannister, unknown_mother_lannister)	0
parent(Z1, Z2)	parent(Z1, elia_martell)	0
ancestor(bran_stark, lancel_lannister)	ancestor(X, Y) :- ancestor(Z, Y), parent(X, Z)	0
parent(theon_greyjoy, Z11)	parent(theon_greyjoy, unknown_mother_greyjoy)	0
ancestor(myrcella_lannister, _EX5)	ancestor(X, Y) :- parent(X, Y)	0
parent(rodrick_greyjoy, luthor_tyrell)	parent(rodrick_greyjoy, luthor_tyrell)	0
parent(jon_snow, Z3)	parent(jon_snow, cersei_lannister)	0
parent(bran_stark, Z5)	parent(bran_stark, cassana_estermont)	0
parent(renly_baratheon, Z11)	parent(renly_baratheon, unknown_mother_targaryen)	0
ancestor(tywin_lannister, tommen_lannister)	ancestor(X, Y) :- ancestor(Z, Y), parent(X, Z)	0
ancestor(aeron_greyjoy, daeron_targaryen)	ancestor(X, Y) :- parent(X, Y)	0
parent(lancel_lannister, Z3)	parent(lancel_lannister, steffon_baratheon)	0
ancestor(four_unknown_martells, arya_stark)	ancestor(X, Y) :- parent(X, Y)	0
parent(lancel_lannister, Z4)	parent(lancel_lannister, rhaegar_targaryen)	0
parent(rhaegar_targaryen, Z4)	parent(rhaegar_targaryen, aegon_v_targaryen)	0
parent(joffery_lannister, Z4)	parent(joffery_lannister, alerie_hightower)	0
parent(trystane_martell, Z11)	parent(trystane_martell, kevan_lannister)	0
parent(trystane_martell, Z4)	parent(trystane_martell, oberyn_martell)	0
parent(tommen_lannister, aegon_v_targaryen)	parent(tommen_lannister, aegon_v_targaryen)	0
parent(shireen_baratheon, Z2)	parent(shireen_baratheon, oberyn_martell)	0
parent(rickon_stark, Z3)	parent(rickon_stark, steffon_baratheon)	0
parent(loras_tyrell, Z12)	parent(loras_tyrell, balon_greyjoy)	0
parent(rickon_stark, Z2)	parent(rickon_stark, mace_tyrell)	0
parent(tyene_sand, Z6)	parent(tyene_sand, elia_martell)	0
ancestor(renly_baratheon, joffery_lannister)	ancestor(X, Y) :- ancestor(Z, Y), parent(X, Z)	0
ancestor(rodrick_greyjoy, duncan_targaryen)	ancestor(X, Y) :- parent(X, Y)	0
ancestor(doran_martell, duncan_targaryen)	ancestor(X, Y) :- ancestor(Z, Y), parent(X, Z)	0
parent(X0, Y0)	parent(robert_baratheon, benjen_stark)	0
parent(cersei_lannister, Z3)	parent(cersei_lannister, unknown_mother_sand_2)	0
parent(sarella_sand, Z12)	parent(sarella_sand, cersei_lannister)	0
ancestor(lyanna_stark, lyanna_stark)	ancestor(X, Y) :- parent(X, Y)	0
parent(rodrick_greyjoy, Z3)	parent(rodrick_greyjoy, stannis_baratheon)	0
parent(arya_stark, Z3)	parent(arya_stark, stannis_baratheon)	0
parent(euron_greyjoy, Z11)	parent(euron_greyjoy, unknown_mother_lannister)	0
parent(lancel_lannister, Z4)	parent(lancel_lannister, unknown_father_greyjoy)	0
parent(robert_baratheon, Z9)	parent(robert_baratheon, unknown_mother_sand_2)	0
parent(brandon_stark, Z10)	parent(brandon_stark, selyse_baratheon)	0
parent(jon_snow, Z2)	parent(jon_snow, unknown_mother_targaryen)	0
parent(trystane_martell, Z11)	parent(trystane_martell, mace_tyrell)	0
parent(yara_greyjoy, Z7)	parent(yara_greyjoy, oberyn_martell)	0
ancestor(four_unknown_martells, tyrion_lannister)	ancestor(X, Y) :- parent(X, Y)	0
parent(rhaegar_targaryen, Z0)	parent(rhaegar_targaryen, kevan_lannister)	0
parent(yara_greyjoy, Z11)	parent(yara_greyjoy, unknown_mother_stark)	0
parent(shireen_baratheon, Z11)	parent(shireen_baratheon, mace_tyrell)	0
parent(arya_stark, Z3)	parent(arya_stark, aegon_v_targaryen)	0
parent(mace_tyrell, Z2)	parent(mace_tyrell, unknown_mother_martell)	0
ancestor(_EX1, obara_sand)	ancestor(X, Y) :- ancestor(Z, Y), parent(X, Z)	0
parent(ella_martell, Z12)	parent(ella_martell, rhaella_targaryen)	0
parent(oberyn_martell, Z3)	parent(oberyn_martell, unknown_mother_targaryen)	0
parent(martyn_lannister, Z11)	parent(martyn_lannister, unknown_mother_sand_2)	0
parent(doran_martell, Z11)	parent(doran_martell, olenna_tyrell)	0
parent(rhaenys_targaryen, Z11)	parent(rhaenys_targaryen, ellaria_sand)	0
parent(rhaegar_targaryen, Z12)	parent(rhaegar_targaryen, alerie_hightower)	0
parent(_EX2, Z0)	parent(_EX2, unknown_mother_stark)	0
parent(rickon_stark, Z11)	parent(rickon_stark, unknown_mother_targaryen)	0
parent(rhaella_targaryen, Z3)	parent(rhaella_targaryen, joanna_lannister)	0
parent(Z1, steffon_baratheon)	parent(Z1, steffon_baratheon)	0
parent(tommen_lannister, Z4)	parent(tommen_lannister, rickard_stark)	0
parent(mace_tyrell, Z12)	parent(mace_tyrell, luthor_tyrell)	0
parent(aegon_targaryen, Z8)	parent(aegon_targaryen, doran_martell)	0
parent(trystane_martell, Z10)	parent(trystane_martell, unknown_mother_lannister)	0
parent(loras_tyrell, Z10)	parent(loras_tyrell, lewyn_martell)	0
ancestor(tyrion_lannister, _EX1)	ancestor(X, Y) :- ancestor(Z, Y), parent(X, Z)	0
ancestor(arya_stark, aegon_targaryen)	ancestor(X, Y) :- ancestor(Z, Y), parent(X, Z)	0
parent(bran_stark, Z4)	parent(bran_stark, tytos_lannister)	0
parent(mace_tyrell, Z6)	parent(mace_tyrell, rhaegar_targaryen)	0
parent(ella_martell, Z12)	parent(ella_martell, selyse_baratheon)	0
parent(robert_baratheon, Z10)	parent(robert_baratheon, joanna_lannister)	0
parent(margaery_tyrell, Z4)	parent(margaery_tyrell, elia_martell)	0
parent(euron_greyjoy, Z2)	parent(euron_greyjoy, unknown_mother_sand_3)	0
parent(mace_tyrell, Z4)	parent(mace_tyrell, rickard_stark)	0
ancestor(willem_lannister, _EX1)	ancestor(X, Y) :- ancestor(Z, Y), parent(X, Z)	0
parent(tyrion_lannister, Z12)	parent(tyrion_lannister, ellaria_sand)	0
parent(sansa_stark, Z11)	parent(sansa_stark, rhaella_targaryen)	0
ancestor(tyene_sand, aegon_targaryen)	ancestor(X, Y) :- ancestor(Z, Y), parent(X, Z)	0
ancestor(robert_baratheon, _EX4)	ancestor(X, Y) :- parent(X, Y)	0
parent(rhaenys_targaryen, Z12)	parent(rhaenys_targaryen, catelyn_stark)	0
parent(Z7, Z8)	parent(Z7, steffon_baratheon)	0
parent(loras_tyrell, Z11)	parent(loras_tyrell, cassana_estermont)	0
parent(stannis_baratheon, Z10)	parent(stannis_baratheon, unknown_father_greyjoy)	0
parent(cersei_lannister, cassana_estermont)	parent(cersei_lannister, cassana_estermont)	0
parent(aerys_targaryen, Z12)	parent(aerys_targaryen, aegon_v_targaryen)	0
parent(daeron_targaryen, Z12)	parent(daeron_targaryen, unknown_mother_greyjoy)	0
parent(obara_sand, Z10)	parent(obara_sand, luthor_tyrell)	0
ancestor(myrcella_lannister, _EX4)	ancestor(X, Y) :- ancestor(Z, Y), parent(X, Z)	0
parent(duncan_targaryen, Z3)	parent(duncan_targaryen, lyanna_stark)	0
parent(joffery_lannister, Z6)	parent(joffery_lannister, catelyn_stark)	0
parent(balon_greyjoy, Z11)	parent(balon_greyjoy, rhaella_targaryen)	0
parent(trystane_martell, Z2)	parent(trystane_martell, unknown_mother_targaryen)	0
parent(cersei_lannister, Z4)	parent(cersei_lannister, unknown_mother_sand_3)	0
parent(daenerys_targaryen, Z10)	parent(daenerys_targaryen, rickard_stark)	0
parent(bran_stark, Z4)	parent(bran_stark, mace_tyrell)	0
parent(shireen_baratheon, Z10)	parent(shireen_baratheon, jaime_lannister)	0
ancestor(_EX5, _EX1)	ancestor(X, Y) :- ancestor(Z, Y), parent(X, Z)	0
ancestor(aerys_targaryen, maron_greyjoy)	ancestor(X, Y) :- ancestor(Z, Y), parent(X, Z)	0
parent(stannis_baratheon, Z4)	parent(stannis_baratheon, balon_greyjoy)	0
parent(euron_greyjoy, tytos_lannister)	parent(euron_greyjoy, tytos_lannister)	0
parent(aegon_targaryen, Z4)	parent(aegon_targaryen, elia_martell)	0
parent(willem_lannister, Z12)	parent(willem_lannister, unknown_mother_lannister)	0
ancestor(bran_stark, _EX1)	ancestor(X, Y) :- parent(X, Y)	0
parent(rickon_stark, Z3)	parent(rickon_stark, catelyn_stark)	0
parent(robert_baratheon, Z8)	parent(robert_baratheon, elia_martell)	0
parent(oberyn_martell, Z2)	parent(oberyn_martell, lyanna_stark)	0
parent(rodrick_greyjoy, Z8)	parent(rodrick_greyjoy, eddard_stark)	0
parent(mace_tyrell, Z4)	parent(mace_tyrell, unknown_father_greyjoy)	0
parent(shireen_baratheon, Z4)	parent(shireen_baratheon, unknown_mother_targaryen)	0
ancestor(kevan_lannister, aegon_targaryen)	ancestor(X, Y) :- parent(X, Y)	0
parent(eddard_stark, Z10)	parent(eddard_stark, unknown_mother_stark)	0
ancestor(lyanna_stark, duncan_targaryen)	ancestor(X, Y) :- ancestor(Z, Y), parent(X, Z)	0
parent(Y, Z1)	parent(Y, unknown_mother_greyjoy)	0
parent(tyrion_lannister, Z3)	parent(tyrion_lannister, unknown_mother_stark)	0
parent(loras_tyrell, Z4)	parent(loras_tyrell, steffon_baratheon)	0
parent(lancel_lannister, Z2)	parent(lancel_lannister, joanna_lannister)	0
parent(rickon_stark, Z11)	parent(rickon_stark, aerys_targaryen)	0
parent(oberyn_martell, Z11)	parent(oberyn_martell, unknown_mother_lannister)	0
ancestor(ella_martell, robert_baratheon)	ancestor(X, Y) :- ancestor(Z, Y), parent(X, Z)	0
parent(ellaria_sand, Z0)	parent(ellaria_sand, cassana_estermont)	0
parent(gendry, Z3)	parent(gendry, rickard_stark)	0
ancestor(tyene_sand, _EX0)	ancestor(X, Y) :- ancestor(Z, Y), parent(X, Z)	0
parent(myrcella_lannister, Z2)	parent(myrcella_lannister, catelyn_stark)	0
ancestor(viserys_targaryen, X)	ancestor(X, Y) :- parent(X, Y)	0
parent(arya_stark, Z8)	parent(arya_stark, cassana_estermont)	0
parent(loras_tyrell, Z11)	parent(loras_tyrell, jaime_lannister)	0
ancestor(shireen_baratheon, tyrion_lannister)	ancestor(X, Y) :- parent(X, Y)	0
parent(myrcella_lannister, Z2)	parent(myrcella_lannister, unknown_mother_sand_1)	0
parent(obara_sand, Z10)	parent(obara_sand, jaime_lannister)	0
parent(euron_greyjoy, Z3)	parent(euron_greyjoy, luthor_tyrell)	0
parent(aegon_targaryen, Z3)	parent(aegon_targaryen, alannys_harlaw)	0
ancestor(cersei_lannister, robert_baratheon)	ancestor(X, Y) :- ancestor(Z, Y), parent(X, Z)	0
parent(X, Z0)	parent(X, unknown_mother_stark)	0
ancestor(maron_greyjoy, _EX1)	ancestor(X, Y) :- ancestor(Z, Y), parent(X, Z)	0
parent(tywin_lannister, Z3)	parent(tywin_lannister, rickard_stark)	0
ancestor(doran_martell, _EX5)	ancestor(X, Y) :- ancestor(Z, Y), parent(X, Z)	0
parent(balon_greyjoy, Z3)	parent(balon_greyjoy, unknown_mother_targaryen)	0
parent(euron_greyjoy, unknown_mother_stark)	parent(euron_greyjoy, unknown_mother_stark)	0
parent(euron_greyjoy, Z3)	parent(euron_greyjoy, elia_martell)	0
parent(robb_stark, Z10)	parent(robb_stark, alerie_hightower)	0
parent(rhaenys_targaryen, Z10)	parent(rhaenys_targaryen, rhaegar_targaryen)	0
parent(stannis_baratheon, Z2)	parent(stannis_baratheon, oberyn_martell)	0
parent(nymeria_sand, Z10)	parent(nymeria_sand, catelyn_stark)	0
parent(rhaegar_targaryen, Z11)	parent(rhaegar_targaryen, oberyn_martell)	0
parent(robert_baratheon, Z3)	parent(robert_baratheon, luthor_tyrell)	0
parent(joffery_lannister, Z3)	parent(joffery_lannister, jaime_lannister)	0
ancestor(aegon_targaryen, robert_baratheon)	ancestor(X, Y) :- ancestor(Z, Y), parent(X, Z)	0
parent(willem_lannister, Z12)	parent(willem_lannister, ellaria_sand)	0
parent(oberyn_martell, Z11)	parent(oberyn_martell, mace_tyrell)	0
parent(X0, Y0)	parent(selyse_baratheon, aeron_greyjoy)	0
parent(jaime_lannister, Z4)	parent(jaime_lannister, cersei_lannister)	0
parent(stannis_baratheon, Z10)	parent(stannis_baratheon, luthor_tyrell)	0
parent(lancel_lannister, Z3)	parent(lancel_lannister, cersei_lannister)	0
parent(daeron_targaryen, Z3)	parent(daeron_targaryen, cersei_lannister)	0
